2016 01 19::04:27:59:743         -7077.541498835874         
2016 01 19::04:28:03:244         -7206.934301867471         
2016 01 19::04:28:08:248         -7466.731904650003         
2016 01 19::04:28:12:563         7617.715087866847         
2016 01 19::04:28:13:565         -7680.984945426329         
2016 01 19::04:28:17:071         -7986.413844678946         
2016 01 19::04:28:20:261         -8230.287538029903         
2016 01 19::04:28:24:080         8269.15193543976         
2016 01 19::04:28:25:265         8733.453368778777         
2016 01 19::04:28:27:267         8930.14999702977         
2016 01 19::04:28:28:084         8656.74289567548         
2016 01 19::04:28:28:768         9146.862055400119         
2016 01 19::04:28:30:770         -9204.643732013332         
2016 01 19::04:28:36:592         -9406.933797226084         
2016 01 19::04:28:40:594         -9647.653315162943         
2016 01 19::04:28:41:595         9753.333135183062         
